Import your contacts;;;;;;;;;;;;;;;;;;;;;;;;
* is mandatory;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Column name;Comments / Notes;;;;;;;;;;;;;;;;;;;;;;;
name*;;;;;;;;;;;;;;;;;;;;;;;;
is_company*;"0 - The contact is a person
1 - The contact is a company";;;;;;;;;;;;;;;;;;;;;;;
company_name;You can link individuals to companies by putting the name of the company for that person. If is_company is 1, this field should be empty (and will be grayed out);;;;;;;;;;;;;;;;;;;;;;;
country_id;ISO 3166-1 Alpha-2 standard (e.g. : US, MX, FR, DE, ....), or full name (e.g.: Belgium);;;;;;;;;;;;;;;;;;;;;;;
state_id;;;;;;;;;;;;;;;;;;;;;;;;
zip;;;;;;;;;;;;;;;;;;;;;;;;
city;;;;;;;;;;;;;;;;;;;;;;;;
street;;;;;;;;;;;;;;;;;;;;;;;;
street2;;;;;;;;;;;;;;;;;;;;;;;;
phone;;;;;;;;;;;;;;;;;;;;;;;;
mobile;;;;;;;;;;;;;;;;;;;;;;;;
email;;;;;;;;;;;;;;;;;;;;;;;;
vat;For European countries, VAT numbers should be unique;;;;;;;;;;;;;;;;;;;;;;;
bank_ids/name;Bank name or BIC code;;;;;;;;;;;;;;;;;;;;;;;
bank_ids/acc_number;Bank account number;;;;;;;;;;;;;;;;;;;;;;;
